country,year9,year8,year7,year6,year5,year4,year3,year2,year1,year0
Argentina,2010,2001,1991,1980,1970,,,,,
Armenia,2011,2001,,,,,,,,
Austria,2011,2001,1991,1981,1971,,,,,
Bangladesh,2011,2001,1991,,,,,,,
Belarus,2009,1999,,,,,,,,
Benin,2013,2002,1992,1979,,,,,,
Bolivia,2012,2001,1992,1976,,,,,,
Botswana,2011,2001,1991,1981,,,,,,
Brazil,2010,2000,1991,1980,1970,1960,,,,
Burkina Faso,2006,1996,1985,,,,,,,
Cambodia,2013,2008,2004,1998,,,,,,
Cameroon,2005,1987,1976,,,,,,,
Canada,2011,2001,1991,1981,1971,,,,,
Chile,2002,1992,1982,1970,1960,,,,,
China,2000,1990,1982,,,,,,,
Colombia,2005,1993,1985,1973,1964,,,,,
Costa Rica,2011,2000,1984,1973,1963,,,,,
Cuba,2012,2002,,,,,,,,
Dominican Republic,2010,2002,1981,1970,1960,,,,,
Ecuador,2010,2001,1990,1982,1974,1962,,,,
Egypt,2006,1996,1986,,,,,,,
El Salvador,2007,1992,,,,,,,,
Ethiopia,2007,1994,1984,,,,,,,
Fiji,2014,2007,1996,1986,1976,1966,,,,
Finland,2010,,,,,,,,,
France,2011,2006,1999,1990,1982,1975,1968,1962,,
Germany,1987,1981,1971,1970,,,,,,
Ghana,2010,2000,1984,,,,,,,
Greece,2011,2001,1991,1981,1971,,,,,
Guatemala,2002,1994,1981,1973,1964,,,,,
Guinea,2014,1996,1983,,,,,,,
Haiti,2003,1982,1971,,,,,,,
Honduras,2001,1988,1974,1961,,,,,,
Hungary,2011,2001,1990,1980,1970,,,,,
Indonesia,2010,2005,2000,1995,1990,1985,1980,1976,1971,
Iran,2011,2006,,,,,,,,
Iraq,1997,,,,,,,,,
Ireland,2016,2011,2006,2002,1996,1991,1986,1981,1979,1971
Israel,2008,1995,1983,1972,,,,,,
Italy,2011,2001,,,,,,,,
Jamaica,2001,1991,1982,,,,,,,
Jordan,2004,,,,,,,,,
Kenya,2009,1999,1989,1979,1969,,,,,
Kyrgyz,2009,1999,,,,,,,,
Laos,2005,,,,,,,,,
Lesotho,2006,1996,,,,,,,,
Liberia,2008,1974,,,,,,,,
Malawi,2008,1998,1987,,,,,,,
Malaysia,2000,1991,1980,1970,,,,,,
Mali,2009,1998,1987,,,,,,,
Mauritius,2011,2000,1990,,,,,,,
Mexico,2015,2010,2005,2000,1995,1990,1970,1960,,
Mongolia,2000,1989,,,,,,,,
Morocco,2014,2004,1994,1982,,,,,,
Mozambique,2007,1997,,,,,,,,
Myanmar,2014,,,,,,,,,
Nepal,2011,2001,,,,,,,,
Netherlands,2011,2001,1971,1960,,,,,,
Nicaragua,2005,1995,1971,,,,,,,
Pakistan,1998,1981,1973,,,,,,,
Palestine,2017,2007,1997,,,,,,,
Panama,2010,2000,1990,1980,1970,1960,,,,
Papua New Guinea,,2000,1990,1980,,,,,,
Paraguay,2002,1992,1982,1972,1962,,,,,
Peru,2007,1993,,,,,,,,
Philippines,2010,2000,1995,1990,,,,,,
Poland,2011,2002,1988,1978,,,,,,
Portugal,2011,2001,1991,1981,,,,,,
Puerto Rico,2010,2005,2000,1990,1980,1970,,,,
Romania,2011,2002,1992,1977,,,,,,
Russia,2010,2002,,,,,,,,
Rwanda,2012,2002,1991,,,,,,,
Saint Lucia,1991,1980,,,,,,,,
Senegal,2013,2002,1988,,,,,,,
Sierra Leone,2004,,,,,,,,,
Slovenia,2002,,,,,,,,,
South Africa,2016,2011,2007,2001,1996,,,,,
South Sudan,2008,,,,,,,,,
Spain,2011,2001,1991,1981,,,,,,
Sudan,2008,,,,,,,,,
Suriname,2012,2004,,,,,,,,
Switzerland,2000,1990,1980,1970,,,,,,
Tanzania,2012,2002,1988,,,,,,,
Thailand,2000,1990,1980,1970,,,,,,
Togo,2010,1970,1960,,,,,,,
Trinidad and Tobago,2011,2000,1990,1980,1970,,,,,
Turkey,2000,1990,1985,,,,,,,
Uganda,2014,2002,1991,,,,,,,
Ukraine,2001,,,,,,,,,
United Kingdom,2001,1991,,,,,,,,
United States,2015,2010,2005,2000,1990,1980,1970,1960,,
Uruguay,2011,2006,1996,1985,1975,1963,,,,
Venezuela,2001,1990,1981,1971,,,,,,
Vietnam,2009,1999,1989,,,,,,,
Zambia,2010,2000,1990,,,,,,,
Zimbabwe,2012,,,,,,,,,
